recall,precision
0.50095238,1.00000000
0.50047664,0.99809886
0.50095420,0.99809886
0.50143266,0.99809886
0.50191205,0.99809886
0.50239234,0.99809886
0.50287356,0.99809886
0.50335570,0.99809886
0.50383877,0.99809886
0.50432277,0.99809886
0.50480769,0.99809886
0.50578035,0.99809886
0.50626808,0.99809886
0.50675676,0.99809886
0.50724638,0.99809886
0.50773694,0.99809886
0.50822846,0.99809886
0.50872093,0.99809886
0.50921435,0.99809886
0.50970874,0.99809886
0.51020408,0.99809886
0.51070039,0.99809886
0.51119766,0.99809886
0.51169591,0.99809886
0.51219512,0.99809886
0.51269531,0.99809886
0.51319648,0.99809886
0.51369863,0.99809886
0.51420176,0.99809886
0.51470588,0.99809886
0.51521099,0.99809886
0.51571709,0.99809886
0.51622419,0.99809886
0.51673228,0.99809886
0.51724138,0.99809886
0.51826259,0.99809886
0.51877470,0.99809886
0.51928783,0.99809886
0.51980198,0.99809886
0.52031715,0.99809886
0.52083333,0.99809886
0.52135055,0.99809886
0.52186879,0.99809886
0.52238806,0.99809886
0.52290837,0.99809886
0.52342971,0.99809886
0.52395210,0.99809886
0.52447552,0.99809886
0.52500000,0.99809886
0.52552553,0.99809886
0.52605210,0.99809886
0.52657974,0.99809886
0.52710843,0.99809886
0.52763819,0.99809886
0.52816901,0.99809886
0.52870091,0.99809886
0.52923387,0.99809886
0.52976791,0.99809886
0.53083923,0.99809886
0.53137652,0.99809886
0.53191489,0.99809886
0.53299492,0.99809886
0.53407935,0.99809886
0.53462322,0.99809886
0.53516820,0.99809886
0.53571429,0.99809886
0.53626149,0.99809886
0.53680982,0.99809886
0.53735926,0.99809886
0.53790984,0.99809886
0.53901437,0.99809886
0.53956835,0.99809886
0.54012346,0.99809886
0.54067971,0.99809886
0.54123711,0.99809886
0.54179567,0.99809886
0.54291624,0.99809886
0.54347826,0.99809886
0.54404145,0.99809886
0.54460581,0.99809886
0.54517134,0.99809886
0.54573805,0.99809886
0.54630593,0.99809886
0.54687500,0.99809886
0.54744526,0.99809886
0.54858934,0.99809886
0.54973822,0.99809886
0.55031447,0.99809886
0.55089192,0.99809886
0.55205047,0.99809886
0.55263158,0.99809886
0.55321391,0.99809886
0.55379747,0.99809886
0.55438226,0.99809886
0.55496829,0.99809886
0.55555556,0.99809886
0.55614407,0.99809886
0.55673383,0.99809886
0.55732484,0.99809886
0.55791711,0.99809886
0.55851064,0.99809886
0.55910543,0.99809886
0.55970149,0.99809886
0.56029883,0.99809886
0.56089744,0.99809886
0.56149733,0.99809886
0.56209850,0.99809886
0.56270096,0.99809886
0.56330472,0.99809886
0.56451613,0.99809886
0.56512379,0.99809886
0.56573276,0.99809886
0.56634304,0.99809886
0.56695464,0.99809886
0.56818182,0.99809886
0.56879740,0.99809886
0.56941432,0.99809886
0.57003257,0.99809886
0.57065217,0.99809886
0.57127312,0.99809886
0.57189542,0.99809886
0.57251908,0.99809886
0.57314410,0.99809886
0.57377049,0.99809886
0.57439825,0.99809886
0.57502738,0.99809886
0.57565789,0.99809886
0.57628979,0.99809886
0.57692308,0.99809886
0.57755776,0.99809886
0.57819383,0.99809886
0.57883131,0.99809886
0.57947020,0.99809886
0.58011050,0.99809886
0.58075221,0.99809886
0.58139535,0.99809886
0.58203991,0.99809886
0.58268590,0.99809886
0.58333333,0.99809886
0.58398220,0.99809886
0.58463252,0.99809886
0.58528428,0.99809886
0.58593750,0.99809886
0.58659218,0.99809886
0.58724832,0.99809886
0.58856502,0.99809886
0.58988764,0.99809886
0.59121622,0.99809886
0.59188275,0.99809886
0.59255079,0.99809886
0.59322034,0.99809886
0.59389140,0.99809886
0.59456399,0.99809886
0.59523810,0.99809886
0.59591373,0.99809886
0.59659091,0.99809886
0.59726962,0.99809886
0.59794989,0.99809886
0.59863170,0.99809886
0.59931507,0.99809886
0.60000000,0.99809886
0.60068650,0.99809886
0.60137457,0.99809886
0.60206422,0.99809886
0.60275545,0.99809886
0.60344828,0.99809886
0.60483871,0.99809886
0.60553633,0.99809886
0.60623557,0.99809886
0.60693642,0.99809886
0.60763889,0.99809886
0.60834299,0.99809886
0.60904872,0.99809886
0.60975610,0.99809886
0.61046512,0.99809886
0.61117579,0.99809886
0.61188811,0.99809886
0.61143524,0.99619772
0.61098131,0.99429658
0.61169591,0.99429658
0.61241218,0.99429658
0.61195780,0.99239544
0.61267606,0.99239544
0.61411765,0.99239544
0.61484099,0.99239544
0.61629280,0.99239544
0.61702128,0.99239544
0.61775148,0.99239544
0.61729858,0.99049430
0.61803084,0.99049430
0.61757720,0.98859316
0.61831153,0.98859316
0.61904762,0.98859316
0.61859356,0.98669202
0.61813842,0.98479087
0.61768220,0.98288973
0.61842105,0.98288973
0.61916168,0.98288973
0.61990408,0.98288973
0.62064826,0.98288973
0.62139423,0.98288973
0.62214200,0.98288973
0.62289157,0.98288973
0.62364294,0.98288973
0.62439614,0.98288973
0.62515115,0.98288973
0.62590799,0.98288973
0.62666667,0.98288973
0.62742718,0.98288973
0.62818955,0.98288973
0.62895377,0.98288973
0.62971985,0.98288973
0.63048780,0.98288973
0.63125763,0.98288973
0.63080685,0.98098859
0.63157895,0.98098859
0.63235294,0.98098859
0.63312883,0.98098859
0.63390663,0.98098859
0.63468635,0.98098859
0.63546798,0.98098859
0.63625154,0.98098859
0.63703704,0.98098859
0.63782447,0.98098859
0.63737624,0.97908745
0.63692689,0.97718631
0.63771712,0.97718631
0.63850932,0.97718631
0.63930348,0.97718631
0.64009963,0.97718631
0.64089776,0.97718631
0.64169788,0.97718631
0.64250000,0.97718631
0.64330413,0.97718631
0.64411028,0.97718631
0.64491844,0.97718631
0.64572864,0.97718631
0.64528302,0.97528517
0.64609572,0.97528517
0.64691047,0.97528517
0.64772727,0.97528517
0.64854614,0.97528517
0.64936709,0.97528517
0.65019011,0.97528517
0.65101523,0.97528517
0.65184244,0.97528517
0.65267176,0.97528517
0.65350318,0.97528517
0.65433673,0.97528517
0.65517241,0.97528517
0.65473146,0.97338403
0.65556978,0.97338403
0.65641026,0.97338403
0.65725289,0.97338403
0.65809769,0.97338403
0.65894466,0.97338403
0.65979381,0.97338403
0.65935484,0.97148289
0.66020672,0.97148289
0.66106080,0.97148289
0.66191710,0.97148289
0.66277562,0.97148289
0.66363636,0.97148289
0.66449935,0.97148289
0.66536458,0.97148289
0.66623207,0.97148289
0.66579634,0.96958175
0.66666667,0.96958175
0.66753927,0.96958175
0.66841415,0.96958175
0.66797900,0.96768061
0.66885677,0.96768061
0.66973684,0.96768061
0.67061924,0.96768061
0.67150396,0.96768061
0.67107001,0.96577947
0.67195767,0.96577947
0.67284768,0.96577947
0.67374005,0.96577947
0.67463479,0.96577947
0.67553191,0.96577947
0.67643142,0.96577947
0.67733333,0.96577947
0.67823765,0.96577947
0.67914439,0.96577947
0.68005355,0.96577947
0.68096515,0.96577947
0.68187919,0.96577947
0.68279570,0.96577947
0.68371467,0.96577947
0.68463612,0.96577947
0.68421053,0.96387833
0.68513514,0.96387833
0.68606225,0.96387833
0.68699187,0.96387833
0.68792402,0.96387833
0.68885870,0.96387833
0.68979592,0.96387833
0.69073569,0.96387833
0.69031378,0.96197719
0.69125683,0.96197719
0.69220246,0.96197719
0.69315068,0.96197719
0.69410151,0.96197719
0.69505495,0.96197719
0.69601100,0.96197719
0.69559229,0.96007605
0.69517241,0.95817490
0.69613260,0.95817490
0.69571231,0.95627376
0.69667590,0.95627376
0.69625520,0.95437262
0.69722222,0.95437262
0.69819193,0.95437262
0.69916435,0.95437262
0.70013947,0.95437262
0.69972067,0.95247148
0.70069930,0.95247148
0.70168067,0.95247148
0.70266480,0.95247148
0.70224719,0.95057034
0.70323488,0.95057034
0.70422535,0.95057034
0.70521862,0.95057034
0.70621469,0.95057034
0.70579915,0.94866920
0.70679887,0.94866920
0.70780142,0.94866920
0.70880682,0.94866920
0.70839260,0.94676806
0.70940171,0.94676806
0.71041369,0.94676806
0.71142857,0.94676806
0.71244635,0.94676806
0.71346705,0.94676806
0.71449067,0.94676806
0.71551724,0.94676806
0.71654676,0.94676806
0.71613833,0.94486692
0.71717172,0.94486692
0.71820809,0.94486692
0.71924747,0.94486692
0.71884058,0.94296578
0.71988389,0.94296578
0.71947674,0.94106464
0.72052402,0.94106464
0.72011662,0.93916350
0.72116788,0.93916350
0.72222222,0.93916350
0.72327965,0.93916350
0.72434018,0.93916350
0.72393539,0.93726236
0.72500000,0.93726236
0.72459499,0.93536122
0.72566372,0.93536122
0.72673560,0.93536122
0.72633136,0.93346008
0.72740741,0.93346008
0.72848665,0.93346008
0.72956909,0.93346008
0.73065476,0.93346008
0.73025335,0.93155894
0.73134328,0.93155894
0.73094170,0.92965779
0.73203593,0.92965779
0.73313343,0.92965779
0.73423423,0.92965779
0.73383459,0.92775665
0.73493976,0.92775665
0.73453997,0.92585551
0.73564955,0.92585551
0.73676248,0.92585551
0.73787879,0.92585551
0.73899848,0.92585551
0.74012158,0.92585551
0.74124810,0.92585551
0.74085366,0.92395437
0.74198473,0.92395437
0.74159021,0.92205323
0.74119449,0.92015209
0.74233129,0.92015209
0.74193548,0.91825095
0.74307692,0.91825095
0.74268105,0.91634981
0.74382716,0.91634981
0.74497682,0.91634981
0.74458204,0.91444867
0.74573643,0.91444867
0.74689441,0.91444867
0.74805599,0.91444867
0.74922118,0.91444867
0.74882995,0.91254753
0.74843750,0.91064639
0.74960876,0.91064639
0.75078370,0.91064639
0.75196232,0.91064639
0.75314465,0.91064639
0.75433071,0.91064639
0.75394322,0.90874525
0.75513428,0.90874525
0.75632911,0.90874525
0.75752773,0.90874525
0.75714286,0.90684411
0.75834658,0.90684411
0.75955414,0.90684411
0.76076555,0.90684411
0.76038339,0.90494297
0.76160000,0.90494297
0.76121795,0.90304183
0.76243981,0.90304183
0.76205788,0.90114068
0.76328502,0.90114068
0.76290323,0.89923954
0.76413570,0.89923954
0.76537217,0.89923954
0.76661264,0.89923954
0.76623377,0.89733840
0.76747967,0.89733840
0.76872964,0.89733840
0.76998369,0.89733840
0.77124183,0.89733840
0.77250409,0.89733840
0.77377049,0.89733840
0.77504105,0.89733840
0.77631579,0.89733840
0.77759473,0.89733840
0.77887789,0.89733840
0.77851240,0.89543726
0.77814570,0.89353612
0.77777778,0.89163498
0.77906977,0.89163498
0.77870216,0.88973384
0.77833333,0.88783270
0.77796327,0.88593156
0.77759197,0.88403042
0.77889447,0.88403042
0.78020134,0.88403042
0.78151261,0.88403042
0.78282828,0.88403042
0.78246206,0.88212928
0.78378378,0.88212928
0.78341794,0.88022814
0.78474576,0.88022814
0.78607810,0.88022814
0.78571429,0.87832700
0.78534923,0.87642586
0.78668942,0.87642586
0.78803419,0.87642586
0.78767123,0.87452471
0.78730703,0.87262357
0.78865979,0.87262357
0.79001721,0.87262357
0.78965517,0.87072243
0.79101900,0.87072243
0.79238754,0.87072243
0.79376083,0.87072243
0.79340278,0.86882129
0.79304348,0.86692015
0.79268293,0.86501901
0.79406632,0.86501901
0.79545455,0.86501901
0.79684764,0.86501901
0.79649123,0.86311787
0.79789104,0.86311787
0.79753521,0.86121673
0.79717813,0.85931559
0.79858657,0.85931559
0.79823009,0.85741445
0.79787234,0.85551331
0.79928952,0.85551331
0.80071174,0.85551331
0.80213904,0.85551331
0.80178571,0.85361217
0.80322004,0.85361217
0.80465950,0.85361217
0.80610413,0.85361217
0.80575540,0.85171103
0.80720721,0.85171103
