fpr,tpr
0.00000000,0.00000000
0.00000000,0.00190476
0.00000000,0.20190476
0.00190476,0.20190476
0.00190476,0.22285714
0.00380952,0.22285714
0.00380952,0.31428571
0.00571429,0.31428571
0.00571429,0.34666667
0.00761905,0.34666667
0.00761905,0.35238095
0.00952381,0.35238095
0.00952381,0.44952381
0.01142857,0.44952381
0.01142857,0.45714286
0.01142857,0.46095238
0.01142857,0.48380952
0.01333333,0.48380952
0.01333333,0.49142857
0.01523810,0.49142857
0.01523810,0.49714286
0.01714286,0.49714286
0.01714286,0.50666667
0.01904762,0.50666667
0.01904762,0.52761905
0.02095238,0.52761905
0.02095238,0.53904762
0.02285714,0.53904762
0.02285714,0.54666667
0.02476190,0.54666667
0.02476190,0.56571429
0.02666667,0.56571429
0.02666667,0.59809524
0.03047619,0.59809524
0.03047619,0.60571429
0.03238095,0.60571429
0.03238095,0.60761905
0.03619048,0.60761905
0.03619048,0.61333333
0.03809524,0.61333333
0.03809524,0.61904762
0.04000000,0.61904762
0.04000000,0.62095238
0.04000000,0.62476190
0.04000000,0.64380952
0.04190476,0.64380952
0.04190476,0.64761905
0.04571429,0.64761905
0.04571429,0.65904762
0.04761905,0.65904762
0.04761905,0.66476190
0.05142857,0.66476190
0.05142857,0.66857143
0.05523810,0.66857143
0.05523810,0.67238095
0.05904762,0.67238095
0.05904762,0.68000000
0.06095238,0.68000000
0.06095238,0.68190476
0.06285714,0.68190476
0.06285714,0.68380952
0.06666667,0.68380952
0.06666667,0.68571429
0.07047619,0.68571429
0.07047619,0.70095238
0.07428571,0.70095238
0.07428571,0.71428571
0.07428571,0.72190476
0.07428571,0.72380952
0.07619048,0.72380952
0.07619048,0.72761905
0.07809524,0.72761905
0.07809524,0.73523810
0.08190476,0.73523810
0.08190476,0.74285714
0.08380952,0.74285714
0.08380952,0.74476190
0.08571429,0.74476190
0.08571429,0.74666667
0.08761905,0.74666667
0.08761905,0.75047619
0.08952381,0.75047619
0.08952381,0.75619048
0.09142857,0.75619048
0.09142857,0.76380952
0.09714286,0.76380952
0.09714286,0.76952381
0.10095238,0.76952381
0.10095238,0.77333333
0.10285714,0.77333333
0.10285714,0.77523810
0.10476190,0.77523810
0.10476190,0.77904762
0.10666667,0.77904762
0.10666667,0.78095238
0.11047619,0.78095238
0.11047619,0.78666667
0.11428571,0.78666667
0.11428571,0.79047619
0.11619048,0.79047619
0.11619048,0.79238095
0.11809524,0.79238095
0.11809524,0.79809524
0.12190476,0.79809524
0.12190476,0.80380952
0.12571429,0.80380952
0.12571429,0.80761905
0.12761905,0.80761905
0.12761905,0.81333333
0.12952381,0.81333333
0.12952381,0.81904762
0.13142857,0.81904762
0.13142857,0.82285714
0.13333333,0.82285714
0.13333333,0.83238095
0.13714286,0.83238095
0.13714286,0.83428571
0.13904762,0.83428571
0.13904762,0.84190476
0.14285714,0.84190476
0.14285714,0.84380952
0.14857143,0.84380952
0.14857143,0.84571429
0.15047619,0.84571429
0.15047619,0.84761905
0.15238095,0.84761905
0.15238095,0.84952381
0.15428571,0.84952381
0.15428571,0.86285714
0.15619048,0.86285714
0.15619048,0.86476190
0.16190476,0.86476190
0.16190476,0.87047619
0.16571429,0.87047619
0.16571429,0.87428571
0.16761905,0.87428571
0.16761905,0.87809524
0.16952381,0.87809524
0.16952381,0.88000000
0.17904762,0.88000000
0.17904762,0.88380952
0.18095238,0.88380952
0.18095238,0.88571429
0.18285714,0.88761905
0.18285714,0.88952381
0.18476190,0.88952381
0.18476190,0.89333333
0.18666667,0.89333333
0.18666667,0.89523810
0.19238095,0.89523810
0.19238095,0.89714286
0.19428571,0.89714286
0.19428571,0.90095238
0.20000000,0.90095238
0.20000000,0.90285714
0.20380952,0.90285714
0.20380952,0.90476190
0.20761905,0.90476190
0.20761905,0.90857143
0.20952381,0.90857143
0.20952381,0.91047619
0.21333333,0.91047619
0.21333333,0.91238095
0.21523810,0.91238095
0.21523810,0.91428571
0.21714286,0.91428571
0.21714286,0.91619048
0.22095238,0.91619048
0.22095238,0.91809524
0.22285714,0.91809524
0.22285714,0.92380952
0.22476190,0.92380952
0.22476190,0.92571429
0.23428571,0.92571429
0.23428571,0.92761905
0.24190476,0.92761905
0.24190476,0.92952381
0.24952381,0.92952381
0.24952381,0.93142857
0.25142857,0.93142857
0.25142857,0.93333333
0.26476190,0.93333333
0.26476190,0.93523810
0.26666667,0.93523810
0.26666667,0.93904762
0.26857143,0.93904762
0.26857143,0.94285714
0.32000000,0.94285714
0.32000000,0.94476190
0.34285714,0.94476190
0.34285714,0.94666667
0.35619048,0.94666667
0.35619048,0.94857143
0.35809524,0.94857143
0.36190476,0.94857143
0.36190476,0.95047619
0.37333333,0.95047619
0.37333333,0.95238095
0.37523810,0.95238095
0.37523810,0.95428571
0.38285714,0.95428571
0.38285714,0.95619048
0.39428571,0.95619048
0.39428571,0.95809524
0.40380952,0.95809524
0.40380952,0.96000000
0.40571429,0.96000000
0.40571429,0.96190476
0.40761905,0.96190476
0.40761905,0.96380952
0.42285714,0.96380952
0.42285714,0.96571429
0.42476190,0.96571429
0.42476190,0.96761905
0.43428571,0.96761905
0.43428571,0.96952381
0.45142857,0.96952381
0.45142857,0.97142857
0.45333333,0.97142857
0.45333333,0.97333333
0.46285714,0.97333333
0.46285714,0.97523810
0.48000000,0.97523810
0.48000000,0.97714286
0.48190476,0.97714286
0.48190476,0.97904762
0.48380952,0.97904762
0.48380952,0.98095238
0.48571429,0.98095238
0.48571429,0.98285714
0.48761905,0.98285714
0.48761905,0.98476190
0.48952381,0.98476190
0.48952381,0.98666667
0.50285714,0.98666667
0.50285714,0.98857143
0.50476190,0.98857143
0.50476190,0.99047619
0.55047619,0.99047619
0.55428571,0.99047619
0.59809524,0.99047619
0.60190476,0.99047619
0.68571429,0.99047619
0.68952381,0.99047619
0.69523810,0.99047619
0.69904762,0.99047619
0.73523810,0.99047619
0.73904762,0.99047619
0.76000000,0.99047619
0.76000000,0.99238095
0.79619048,0.99238095
0.80000000,0.99238095
0.80380952,0.99238095
0.80761905,0.99238095
0.81333333,0.99238095
0.81333333,0.99428571
0.82285714,0.99428571
0.82666667,0.99428571
0.82857143,0.99428571
0.83238095,0.99428571
0.83428571,0.99428571
0.83809524,0.99428571
0.85333333,0.99428571
0.85333333,0.99619048
0.86095238,0.99619048
0.86476190,0.99619048
0.88380952,0.99619048
0.88761905,0.99619048
0.89142857,0.99619048
